COURSE,SCREENCAST TITLE,DESCRIPTION,DURATION,URL,VIEWS,CUSTOM TOPIC ORDER,TOPICS,SUBTOPIC,YET ANOTHER SUBTOPIC,INTRO/EXAMPLE?,INTERACTIVE? ,FEATURED?,EXAM REVIEW,FE EXAM,ABRIDGED DESCRIPTION,TEXTBOOK-1,SECTION-1,TEXTBOOK-2,SECTION-2,TEXTBOOK-3,SECTION-3,TEXTBOOK-4,SECTION-4
Catalysis,Kinetics and Thermodynamics,Discusses the differences between reaction kinetics and thermodynamics and describes how thermodynamics is important in kinetics and reactor design.,3:55,https://youtu.be/uJXOCpDhuSQ?list=PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa,6510,3,Selectivity and Equilibrium,,,,,,,,,,,,,,,,
Catalysis,Parallel Reactions and Selectivity,"Describes the effects of concentration, temperature, and reactor type on selectivity for parallel reactions.",6:54,https://youtu.be/pYu4BlHrJGo?list=PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa,3315,3,Selectivity and Equilibrium,,,,,yes,,,,,,,,,,,
Catalysis,Perturb Heterogeneous Equilibrium (Interactive),"MCQ: When a solid is added to a system that is in chemical equilibrium, what happens to the equilibrium partial pressures? Interactive screencast.",0:54,https://youtu.be/G1jmk4q1yes?list=PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa,202,3,Selectivity and Equilibrium,,,,,,,,,,,,,,,,
Catalysis,Series Reactions and Selectivity,Describes the effect of reaction time on selectivity for a series reaction.,3:36,https://youtu.be/ZDdnOz49Bec?list=PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa,1342,3,Selectivity and Equilibrium,,,,,,,,,,,,,,,,
Catalysis,Which Reaction Reaches Equilibrium First? (Interactive),"MCQ: Given the equilibrium constants for two reactions, what can be concluded about which reaction reaches equilibrium first or which has a higher equilibrium conversion? Interactive screencast.",0:44,https://youtu.be/BgSC8YD1oTQ?list=PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa,321,3,Selectivity and Equilibrium,,,,,,,,,,,,,,,,
Catalysis,Apparent Activation Energy,Explains how the apparent activation energy for a catalytic reaction depends on the surface reaction activation energy and the heats of adsorption of reactants.,8:48,https://youtu.be/Xc6doO4Kh9k?list=PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa,437,4,Reaction Kinetics,,,intro,,,,,explains the apparent activation energy for a catalytic reaction,Fogler1st,10.3,Rawlings1st,,Hill2nd,,,
Catalysis,Description of the Reaction Coordinate,Explains the energy versus reaction coordinate diagram. Relates the activation energies for the forward and reverse reactions of an exothermic reaction to the equilibrium constant dependence on temperature.,3:53,https://youtu.be/67P5BdtGVWA?list=PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa,3526,4,Reaction Kinetics,,,,,,,,,,,,,,,,
Catalysis,Eley-Rideal Surface Reaction,Demonstrates how to derive a rate expression for an Eley-Rideal surface reaction.,5:19,https://youtu.be/XabY4vAU2WU?list=PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa,2986,4,Reaction Kinetics,,,,,,,,,,,,,,,,
Catalysis,Langmuir-Hinshelwood Kinetics,"For a surface reaction, use proposed mechanisms to verify the model as Langmuir Hinshelwood kinetics.",12:59,https://youtu.be/dRgPqnG70TQ?list=PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa,8346,4,Reaction Kinetics,,,,,,,,,,,,,,,,
Catalysis,Steady-State Approximation,"Using rate constant information for a two step reaction, use steady-state approximations to determine an overall rate expression for the product formation.",3:11,https://youtu.be/lcy9fpgfB_s?list=PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa,17057,4,Reaction Kinetics,,,,,yes,,,,,,,,,,,
Catalysis,Steady-State Approximation Part 2,Applies the steady-state approximation to a sequence of elementary steps to obtain a rate expression.,4:27,https://youtu.be/A-XSB8m4TKw?list=PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa,1003,4,Reaction Kinetics,,,,,,,,,,,,,,,,
Catalysis,Steady-State Approximation vs. Rate Determining Step,Compares the rate expression obtained from the steady-state approximation (part 1) to the expression from the rate-determining step assumption.,4:27,https://youtu.be/p5PDmWDgWEo?list=PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa,944,4,Reaction Kinetics,,,,,,,,,,,,,,,,
Catalysis,Adsorption Introduction,Explains the concept of adsorption and derives the Langmuir isotherm.,8:49,https://youtu.be/hreAO6Iqraw?list=PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa,7989,5,Adsorption/Desorption,,,,,yes,,,,,,,,,,,
Catalysis,Heat of Adsorption Calculation,Calculates the heat of adsorption from adsorption measurements at low coverages.,5:06,https://youtu.be/6-6fRa-AZPE?list=PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa,102,5,Adsorption/Desorption,,,,,,,,,,,,,,,,
Catalysis,Langmuir Isotherm: Dissociative Adsorption,Derives the Langmuir isotherm for dissociative adsorption of hydrogen on a Pt catalyst.,3:22,https://youtu.be/fbFkGmHyyE4?list=PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa,4585,5,Adsorption/Desorption,,,,,,,,,,,,,,,,
Catalysis,Langmuir Isotherms for Binary Mixture (Simulation),Demonstrates the amounts adsorbed on a surface for a binary gas mixture using an interactive Mathematica simulation. The adsorption is modeled using extended Langmuir isotherms.,4:37,https://youtu.be/X9NIQ3KBd8I?list=PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa,735,5,Adsorption/Desorption,,,,,,,,,,,,,,,,
Catalysis,Temperature-Programmed Desorption,Explains temperature-programmed desorption (TPD) and solves the equations for first-order desorption.,7:00,https://youtu.be/QuNr1mnF-pQ?list=PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa,319,5,Adsorption/Desorption,,,,,,,,,,,,,,,,
Catalysis,Temperature-Programmed Desorption (Simulation),Describes how to use an interactive simulation that models temperature-programmed desorption. The simulation is located at: http://demonstrations.wolfram.com/TemperatureProgrammedDesorption/,3:24,https://youtu.be/oTASkDv7IyI?list=PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa,1,5,Adsorption/Desorption,,,,,,,,,,,,,,,,
Catalysis,Diffusion and Reaction in a Cylindrical Porous Catalyst,"Given a concentration gradient in a porous cylindrical catalyst pellet, determine the amount reacting within the cylinder.",3:04,https://youtu.be/v7CMXuKrJC8?list=PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa,1902,6,Mass Transfer/Diffusion,,,,,,,,,,,,,,,,
Catalysis,Effectiveness Factor for a Spherical Catalyst,Calculates how the total rate of reaction increases in a porous catalyst sphere (whose effectiveness factor is less than one) when the diameter increases.,4:05,https://youtu.be/YX8FVyqw_Yo?list=PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa,1868,6,Mass Transfer/Diffusion,,,,,,,,,,,,,,,,
Catalysis,Effectiveness Factor for Single Catalyst Pore,Calculates the concentration gradient and the effectiveness factor for a catalyst pore with catalyst on the walls by carrying out a differential material balance.,11:59,https://youtu.be/zFs5khfdkz0?list=PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa,676,6,Mass Transfer/Diffusion,,,,,,,,,,,,,,,,
Catalysis,Mass Transfer in a Catalyst Sphere,Uses a shell balance to determine the rate of product formed with respect to time for a spherical catalyst.,7:06,https://youtu.be/D-6ACSW8E7w?list=PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa,2658,6,Mass Transfer/Diffusion,,,,,yes,,,,,,,,,,,
Chemistry,Density of an Element,"Given the density of rhodium and its crystal structure, calculate it atomic radius.",5:53,http://www.youtube.com/watch?v=Cwdef3TlOtE&feature=share&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS&index=27,,1,Other,Introduction,,example,,,,,,,,,,,,,
Chemistry,Density of Iron,"Given the edge length of a cube for iron in the body-centered cubic structure, determine its density.",3:22,http://www.youtube.com/watch?v=s8MHZQpZOjc&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS&feature=share&index=9,,1,Other,Introduction,,example,,,,,,,,,,,,,
Chemistry,Final Concentration Using Unit Conversions,Demonstrates how to find a final concentration using an initial solution by using unit conversions.,3:50,https://youtu.be/TrBjR7qMJjs,,1,Other,Introduction,,,,,,,,,,,,,,,
Chemistry,Unit Conversion,"Use units conversion to determine mass, given density and volume, where the volume units are different from the volume units in density.",3:40,http://www.youtube.com/watch?v=laMyHmqsTUo&feature=share&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS,,1,Other,Introduction,,example,,,,,,,,,,,,,
Chemistry,Isotope Composition,"Given atomic masses of 3 isotopes of silicon, the percent of one isotope in the mixture and the average atomic mass, determine the percent of one of the other isotopes in the mixture. ",4:08,http://www.youtube.com/watch?v=eQsi7rzMBzk&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS&feature=share&index=1,,2,Units of Matter,"Atoms, Molecules and Ions",,example,,,,,,,,,,,,,
Chemistry,Isotopic Abundance,"Give the atomic mass of an element and the masses of its two isotopes, calculate the relative abundances of the two isotopes.",2:29,http://www.youtube.com/watch?v=agUT0ekqs_A&feature=share&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS&index=6,,2,Units of Matter,"Atoms, Molecules and Ions",,example,,,,,,,,,,,,,
Chemistry,Lattice Energy,Calculates the lattice energy for a salt using a Bohr-Haber cycle to determine the enthalpy change to form the gas from gas phase ions.,5:14,http://www.youtube.com/watch?v=ConTsQHnN6Q&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS&feature=share&index=74,,2,Units of Matter,"Atoms, Molecules and Ions",,,,,,,,,,,,,,,
Chemistry,Molecular Mass,"Given a chemical formula, calculate its molecular mass.",1:11,http://www.youtube.com/watch?v=V5zzzzWuwzE&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS&feature=share&index=5,,2,Units of Matter,"Atoms, Molecules and Ions",,example,,,,,,,,,,,,,
Chemistry,Number of Protons Neutrons Electrons,"Determine the number of protons, neutrons, and electrons in an anionic compound.",1:49,http://www.youtube.com/watch?v=oHAuPT3Mk3Y&feature=share&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS&index=7,,2,Units of Matter,"Atoms, Molecules and Ions",,example,,,,,,,,,,,,,
Chemistry,Which Molecule is not Polar?,"Given five molecules, determine which is not polar by drawing the Lewis structure and  determining the molecular structure.",2:15,http://www.youtube.com/watch?v=_-nNBt19yTA&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS&feature=share&index=55,,2,Units of Matter,"Atoms, Molecules and Ions",,intro,,,,,,,,,,,,,
Chemistry,Assigning Oxidation States,Presents the rules used to assign oxidation numbers to atoms with examples. Discusses the difference between oxidation number and formal charge.,7:59,http://www.youtube.com/watch?v=YWKONQyPAso&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS&feature=share&index=57,,3,Units of Matter,Electronic Structure of Atoms,,intro,,,,6.1,,,,,,,,,
Chemistry,Chemical Formula and Structure,"Determine the chemical formula for a binary compound, given a diagram of its crystal structure. ",2:22,http://www.youtube.com/watch?v=0EUHzs7DRx8&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS&feature=share&index=30,,3,Units of Matter,Electronic Structure of Atoms,,example,,yes,,,,,,,,,,,
Chemistry,Determining Favored Resonance Structures,Determines the favored resonance structure by using the octet rule and formal charges. ,3:39,https://youtu.be/lLhTrWvGrZ8,40,3,Units of Matter,Electronic Structure of Atoms,,example,,,,,,,,,,,,,
Chemistry,Empirical Formula from Mass Percentages,Determines the empirical formula of a known compound using given mass percentages.,3:41,https://youtu.be/SGyj0sySvhM,51,3,Units of Matter,Electronic Structure of Atoms,,example,,,,,,,,,,,,,
Chemistry,Formal Charge,Determine the formal charge on the best Lewis structure of NO+.,2:43,http://www.youtube.com/watch?v=_wYtocFdgGc&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS&feature=share&index=34,,3,Units of Matter,Electronic Structure of Atoms,,example,,,,6.1,,,,,,,,,
Chemistry,Lewis Dot Structure Examples,Gives a couple of examples of doing Lewis dot structures of simple compounds.,7:19,https://youtu.be/cMubkwFUEDA?list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS,,3,Units of Matter,Electronic Structure of Atoms,,,,,,,,,,,,,,,
Chemistry,Lewis Dot Structures: Molecular Geometry,Gives examples of Lewis dot structures for water and ammonia to show how they result in bent and pyramidal structures.,4:12,https://youtu.be/V1iM_GwTlys?list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS,,3,Units of Matter,Electronic Structure of Atoms,,,,,,,,,,,,,,,
Chemistry,Lewis Dot Structures: Octet Rule,Determine which molecule does not satisfy the octet rule in the Lewis structure.,2:36,http://www.youtube.com/watch?v=gQ7Uwd4NZXk&feature=share&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS&index=56,,3,Units of Matter,Electronic Structure of Atoms,,example,,,,,,,,,,,,,
Chemistry,Lewis Dot Structures: Triple Bond,Determine which of these five molecules has a triple bond by drawing Lewis structures.,3:48,http://www.youtube.com/watch?v=6WklC9e_M10&feature=share&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS&index=49,,3,Units of Matter,Electronic Structure of Atoms,,example,,,,,,,,,,,,,
Chemistry,Molecular Geometry,Determine the geometry of TeF5- using the periodic table and Lewis structures.,2:48,http://www.youtube.com/watch?v=Cc88wFkW_aA&feature=share&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS&index=52,,3,Units of Matter,Electronic Structure of Atoms,,example,,,,,,,,,,,,,
Chemistry,Molecular Shape (VSEPR),"Using the valence shell electron pair repulsion (VSEPR) model, determine the structure of AsCl3.",1:38,http://youtu.be/vZ2Im4bxa4M?list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS,,3,Units of Matter,Electronic Structure of Atoms,,example,,,,,,,,,,,,,
Chemistry,Amount of Gas Product Formed ,Determines the volume of the gas-phase product given the masses of two reactants and using the ideal gas law. Identifies the limiting reactant.,4:12,http://www.youtube.com/watch?v=LXYdJN1V_p0&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS&feature=share&index=67,,4,Phases/Phase Equilibrium,Gases,,example,,,,,,,,,,,,,
Chemistry,Gas Density,Use the ideal gas law and the molecular weights of 5 molecules to determine which molecule has the highest mass density,2:22,http://www.youtube.com/watch?v=EhPxE3La_Zg&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS&feature=share&index=24,,4,Phases/Phase Equilibrium,Gases,,example,,,,,,,,,,,,,
Chemistry,Gas-Phase Equilibrium,"Given the equilibrium constants for a gas-phase reaction and the number of moles of two of the components involved in reaction, determine the number of moles of the third component. ",2:06,http://www.youtube.com/watch?v=NBst2ansVTE&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS&feature=share&index=60,,4,Phases/Phase Equilibrium,Gases,,example,,,,,,,,,,,,,
Chemistry,Ideal Gas Law Example,Calculate the volume of a gas that expands to a lower pressure at constant temperature using the ideal gas law.,1:39,http://www.youtube.com/watch?v=IgUS4_0m9Zc&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS&feature=share&index=32,,4,Phases/Phase Equilibrium,Gases,,example,,,,,,,,,,,,,
Chemistry,Ideal Gas Properties,"Apply the ideal gas law twice to a system in which initial conditions are given, additional gas is added and the temperature changed.",3:54,http://www.youtube.com/watch?v=cBTaIZFIEG4&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS&feature=share&index=38,,4,Phases/Phase Equilibrium,Gases,,example,,,,,,,,,,,,,
Chemistry,Identify Gas Using Ideal Gas Law ,"A gas is identified by measuring its pressure, temperature, and volume and its weight and using the ideal gas law.",2:14,http://www.youtube.com/watch?v=990ed9bsQlY&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS&feature=share&index=65,,4,Phases/Phase Equilibrium,Gases,,example,,,,,,,,,,,,,
Chemistry,Molar Mass of a Gas,"Given the density of a gas at a certain temperature and pressure, calculate its molar mass using the ideal gas law.",3:17,http://www.youtube.com/watch?v=mF8RdjDiuu8&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS&feature=share&index=37,,4,Phases/Phase Equilibrium,Gases,,example,,,,,,,,,,,,,
Chemistry,Partial Pressures,"The partial pressures of a binary gas mixture are calculated, given the number of grams of each molecule in the mixture.",3:18,http://www.youtube.com/watch?v=iCTnUFlakNo&feature=share&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS&index=28,,4,Phases/Phase Equilibrium,Gases,,example,,yes,,,,,,,,,,,
Chemistry,Ranking Vapor Pressures,Explains how to conceptually determine the vapor pressure of various molecules based on their bond strengths. ,6:00,https://youtu.be/Fd6eqNyPSgI,,4,Phases/Phase Equilibrium,Gases,,Example,,,,,,,,,,,,,
Chemistry,Boiling Point from Heat of Vaporization,"Given the heat of vaporization of water and its boiling point at 1 bar, determine its boiling point at 1.5 bar using the Clausius-Clapeyron equation.",2:51,http://www.youtube.com/watch?v=HjK9IfWY2qg&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS&feature=share&index=79,375,5,Phases/Phase Equilibrium,"Solids, Liquids, and Phase Changes",,example,,,,,,,,,,,,,
Chemistry,Boiling Point from PVT Diagram,Determine the normal boiling point using a PVT diagram for an unknown molecule.,1:28,http://www.youtube.com/watch?v=jZESbugbnWw&feature=share&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS&index=40,,5,Phases/Phase Equilibrium,"Solids, Liquids, and Phase Changes",,example,,,,,,,,,,,,,
Chemistry,Heat of Vaporization from Vapor Pressure,Use the vapor pressures at two temperatures and the Clasius-Clapeyron equation to determine the heat of vaporization.,3:02,http://www.youtube.com/watch?v=OGAxPWUB8H8&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS&feature=share&index=26,,5,Phases/Phase Equilibrium,"Solids, Liquids, and Phase Changes",,example,,,,,,,,,,,,,
Chemistry,Phase Behavior on a PV Diagram (Simulation),Describes how to use the interactive simulation that represents the pressure-volume behavior for water. The simulation is located at: http://demonstrations.wolfram.com/PhaseBehaviorOnAPressureVolumeDiagram/,1:35,https://youtu.be/7N_CR5aF60s,,5,Phases/Phase Equilibrium,"Solids, Liquids, and Phase Changes",,example,,,,,,,,,,,,,
Chemistry,Which Phase is Stable?,"Determine the temperature where phase transition occurs and which phase is stable at higher temperatures, given enthalpy change and entropy change for the phase change of solid tin. ",2:59,http://www.youtube.com/watch?v=0G4cO9seO9s&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS&feature=share&index=44,,5,Phases/Phase Equilibrium,"Solids, Liquids, and Phase Changes",,example,,,,,,,,,,,,,
Chemistry,Osmotic Pressures,Calculate the osmotic pressure given the number of grams of sucrose dissolved in water.,3:03,http://www.youtube.com/watch?v=8WoyxPN1sSo&feature=share&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS&index=78,,6,Phases/Phase Equilibrium,Phase Equilibrium,,example,,,,,,,,,,,,,
Chemistry,Activation Energy Example,"Given the activation energy for an uncatalyzed reaction, the activation energy for the catalyzed reaction is calculated.",3:48,http://www.youtube.com/watch?v=4y_SW1Z8b7A&feature=share&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS&index=75,,7,Chemical Reactions,Chemical Kinetics,,,,,,,,,,,,,,,
Chemistry,Determining Favorability of Reactions,Shows how to determine favorability of reactions with respect to energy using various examples.,2:35,https://www.youtube.com/watch?v=APxyBY27Msk,,7,Chemical Reactions,Chemical Kinetics,,example,,,,,,,,,,,,,
Chemistry,First Order Kinetics Calculations,Utilizes the first order reaction equation to determine time-dependent concentration problems.,4:06,https://youtu.be/MF0TbEeuTk0,,7,Chemical Reactions,Chemical Kinetics,,example,,,,,,,,,,,,,
Chemistry,Fractional Conversion (Interactive),Multiple choice question: Examine how fractional conversion relates between species in a reaction.,1:04,http://youtu.be/49C84I1_68o?list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS,,7,Chemical Reactions,Chemical Kinetics,,Interactive,interactive,,,,,,,,,,,,
Chemistry,Kinetics: Reaction Time,"Calculate the time it takes to reach the final concentration for a second-order reaction, given the rate constant and the initial and final concentrations.",4:24,http://www.youtube.com/watch?v=6KqaP0TVlJM&feature=share&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS&index=58,,7,Chemical Reactions,Chemical Kinetics,,example,,,,,,,,,,,,,
Chemistry,Kinetics: Reaction Time 2,"Calculates the time to reach a final concentration, given the initial concentration of reactant and the rate constant for a first-order reaction.",2:27,http://www.youtube.com/watch?v=Bt70qUQb6BA&feature=share&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS&index=61,,7,Chemical Reactions,Chemical Kinetics,,example,,,,,,,,,,,,,
Chemistry,Limiting Reagent (Interactive),Multiple choice question: Determine amount of product formed based on conversion of limiting reactant.,0:57,http://youtu.be/7H2EnOzGxD0?list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS,,7,Chemical Reactions,Chemical Kinetics,,Interactive,interactive,,,,,,,,,,,,
Chemistry,Non-Spontaneous Reaction,"Given that the entropy change for a non-spontaneous reaction is negative, what can be said about the signs of the changes in enthalpy and Gibbs free energy? ",1:22,http://www.youtube.com/watch?v=uYHwrmWEIsk&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS&feature=share&index=43,,7,Chemical Reactions,Chemical Kinetics,,example,,,,,,,,,,,,,
Chemistry,Pressure Change with Reaction,The final pressure is calculated for a reaction taking place in a fixed volume container. The amount of reactant that reacts is given and the number of moles of gas increases,4:30,http://www.youtube.com/watch?v=Le4gu2jysSk&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS&feature=share&index=42,,7,Chemical Reactions,Chemical Kinetics,,example,,,,,,,,,,,,,
Chemistry,Rate Constant for a Reversible Reaction,Determines the reverse rate constant given the equilibrium constant and the forward rate constant for an elementary reaction.,2:18,http://www.youtube.com/watch?v=JDqxSbBfKLk&feature=share&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS&index=63,,7,Chemical Reactions,Chemical Kinetics,,example,,,,,,,,,,,,,
Chemistry,Rate of First Order Reaction,"Given the amount of reactant A reacting in 100 s for a first-order reaction, determine the number of molecules remaining at 300 s. ",1:57,http://www.youtube.com/watch?v=47SgFaL4a7c&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS&feature=share&index=53,,7,Chemical Reactions,Chemical Kinetics,,example,,,,,,,,,,,,,
Chemistry,Rates of Reaction,Determine how the rate of reaction for a reactant relates to the rate of reaction for a product. ,1:59,http://www.youtube.com/watch?v=PR25HRqZjvQ&feature=share&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS&index=47,,7,Chemical Reactions,Chemical Kinetics,,example,,,,,,,,,,,,,
Chemistry,Reaction Mechanism,Determine the expected order of reaction given a reaction mechanism for a chemical reaction. ,2:25,http://www.youtube.com/watch?v=qqU8o55xnBM&feature=share&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS&index=54,,7,Chemical Reactions,Chemical Kinetics,,example,,,,,,,,,,,,,
Chemistry,Reaction Order from Initial Rate Data,"Given initial rate data, determine the order of the reaction for one of the reactants.",1:29,http://www.youtube.com/watch?v=bZN6BEPydN8&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS&feature=share&index=41,,7,Chemical Reactions,Chemical Kinetics,,example,,,,,,,,,,,,,
Chemistry,Reaction Rate Law,Determines the reaction rate law from initial rate data for a liquid-phase reaction.,4:50,http://www.youtube.com/watch?v=3EunldjE-yA&feature=share&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS&index=62,,7,Chemical Reactions,Chemical Kinetics,,example,,,,,,,,,,,,,
