COURSE,TOPICS,SUBTOPIC,SCREENCAST TITLE,DESCRIPTION,DURATION,YouTube VIDEO ID,YouTube PLAYLIST ID (optional),URL
Catalysis,Crystal Structures,,Miller-Bravais Indices: Hexagonal Structure,Determines the four-parameter Miller-Bravais indices for an hexagonal unit cell.,,vK913oWl_XI,PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa,https://www.youtube.com/watch?v=vK913oWl_XI&list=PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa
Catalysis,Crystal Structures,,Tetrahedral and Octahedral Sites,Describes the locations of tetrahedral and octahedral sites in a face-centered cubic (FCC) crystal structure.,,TIXWnr3sdY4,PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa,https://www.youtube.com/watch?v=TIXWnr3sdY4&list=PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa
Catalysis,Selectivity and Equilibrium,,Catalytic Selectivity and Equilibrium,An overview of the benefit of catalysts in both reaction selectivity and equilibrium.,,pJJZMcAo44g,PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa,https://www.youtube.com/watch?v=pJJZMcAo44g&list=PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa
Catalysis,Selectivity and Equilibrium,,Heterogeneous Chemical Equilibrium,"Given the Gibbs free energy at two temperatures, determine the maximum temperature for a heterogeneous reaction to occur.",,ztKwAXW3KWE,PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa,https://www.youtube.com/watch?v=ztKwAXW3KWE&list=PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa
Catalysis,Selectivity and Equilibrium,,Kinetics and Thermodynamics,Discusses the differences between reaction kinetics and thermodynamics and describes how thermodynamics is important in kinetics and reactor design.,,uJXOCpDhuSQ,PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa,https://www.youtube.com/watch?v=uJXOCpDhuSQ&list=PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa
Catalysis,Selectivity and Equilibrium,,Parallel Reactions and Selectivity,"Describes the effects of concentration, temperature, and reactor type on selectivity for parallel reactions.",,pYu4BlHrJGo,PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa,https://www.youtube.com/watch?v=pYu4BlHrJGo&list=PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa
Catalysis,Selectivity and Equilibrium,,Perturb Heterogeneous Equilibrium (Interactive),"MCQ: When a solid is added to a system that is in chemical equilibrium, what happens to the equilibrium partial pressures? Interactive screencast.",,G1jmk4q1yes,PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa,https://www.youtube.com/watch?v=G1jmk4q1yes&list=PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa
Catalysis,Selectivity and Equilibrium,,Series Reactions and Selectivity,Describes the effect of reaction time on selectivity for a series reaction.,,ZDdnOz49Bec,PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa,https://www.youtube.com/watch?v=ZDdnOz49Bec&list=PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa
Catalysis,Selectivity and Equilibrium,,Which Reaction Reaches Equilibrium First? (Interactive),"MCQ: Given the equilibrium constants for two reactions, what can be concluded about which reaction reaches equilibrium first or which has a higher equilibrium conversion? Interactive screencast.",,BgSC8YD1oTQ,PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa,https://www.youtube.com/watch?v=BgSC8YD1oTQ&list=PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa
Catalysis,Reaction Kinetics,,Apparent Activation Energy,Explains how the apparent activation energy for a catalytic reaction depends on the surface reaction activation energy and the heats of adsorption of reactants.,,Xc6doO4Kh9k,PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa,https://www.youtube.com/watch?v=Xc6doO4Kh9k&list=PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa
Catalysis,Reaction Kinetics,,Description of the Reaction Coordinate,Explains the energy versus reaction coordinate diagram. Relates the activation energies for the forward and reverse reactions of an exothermic reaction to the equilibrium constant dependence on temperature.,,67P5BdtGVWA,PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa,https://www.youtube.com/watch?v=67P5BdtGVWA&list=PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa
Catalysis,Reaction Kinetics,,Eley-Rideal Surface Reaction,Demonstrates how to derive a rate expression for an Eley-Rideal surface reaction.,,XabY4vAU2WU,PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa,https://www.youtube.com/watch?v=XabY4vAU2WU&list=PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa
Catalysis,Reaction Kinetics,,Langmuir-Hinshelwood Kinetics,"For a surface reaction, use proposed mechanisms to verify the model as Langmuir Hinshelwood kinetics.",,dRgPqnG70TQ,PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa,https://www.youtube.com/watch?v=dRgPqnG70TQ&list=PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa
Catalysis,Reaction Kinetics,,Steady-State Approximation,"Using rate constant information for a two step reaction, use steady-state approximations to determine an overall rate expression for the product formation.",,lcy9fpgfB_s,PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa,https://www.youtube.com/watch?v=lcy9fpgfB_s&list=PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa
Catalysis,Reaction Kinetics,,Steady-State Approximation Part 2,Applies the steady-state approximation to a sequence of elementary steps to obtain a rate expression.,,A-XSB8m4TKw,PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa,https://www.youtube.com/watch?v=A-XSB8m4TKw&list=PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa
Catalysis,Reaction Kinetics,,Steady-State Approximation vs. Rate Determining Step,Compares the rate expression obtained from the steady-state approximation (part 1) to the expression from the rate-determining step assumption.,,p5PDmWDgWEo,PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa,https://www.youtube.com/watch?v=p5PDmWDgWEo&list=PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa
Catalysis,Adsorption/Desorption,,Adsorption Introduction,Explains the concept of adsorption and derives the Langmuir isotherm.,,hreAO6Iqraw,PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa,https://www.youtube.com/watch?v=hreAO6Iqraw&list=PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa
Catalysis,Adsorption/Desorption,,Heat of Adsorption Calculation,Calculates the heat of adsorption from adsorption measurements at low coverages.,,6-6fRa-AZPE,PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa,https://www.youtube.com/watch?v=6-6fRa-AZPE&list=PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa
Catalysis,Adsorption/Desorption,,Langmuir Isotherm: Dissociative Adsorption,Derives the Langmuir isotherm for dissociative adsorption of hydrogen on a Pt catalyst.,,fbFkGmHyyE4,PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa,https://www.youtube.com/watch?v=fbFkGmHyyE4&list=PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa
Catalysis,Adsorption/Desorption,,Langmuir Isotherms for Binary Mixture (Simulation),Demonstrates the amounts adsorbed on a surface for a binary gas mixture using an interactive Mathematica simulation. The adsorption is modeled using extended Langmuir isotherms.,,X9NIQ3KBd8I,PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa,https://www.youtube.com/watch?v=X9NIQ3KBd8I&list=PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa
Catalysis,Adsorption/Desorption,,Temperature-Programmed Desorption,Explains temperature-programmed desorption (TPD) and solves the equations for first-order desorption.,,QuNr1mnF-pQ,PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa,https://www.youtube.com/watch?v=QuNr1mnF-pQ&list=PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa
Catalysis,Adsorption/Desorption,,Temperature-Programmed Desorption (Simulation),Describes how to use an interactive simulation that models temperature-programmed desorption. The simulation is located at: https://demonstrations.wolfram.com/TemperatureProgrammedDesorption/,,oTASkDv7IyI,PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa,https://www.youtube.com/watch?v=oTASkDv7IyI&list=PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa
Catalysis,Mass Transfer/Diffusion,,Diffusion and Reaction in a Cylindrical Porous Catalyst,"Given a concentration gradient in a porous cylindrical catalyst pellet, determine the amount reacting within the cylinder.",,v7CMXuKrJC8,PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa,https://www.youtube.com/watch?v=v7CMXuKrJC8&list=PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa
Catalysis,Mass Transfer/Diffusion,,Effectiveness Factor for a Spherical Catalyst,Calculates how the total rate of reaction increases in a porous catalyst sphere (whose effectiveness factor is less than one) when the diameter increases.,,YX8FVyqw_Yo,PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa,https://www.youtube.com/watch?v=YX8FVyqw_Yo&list=PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa
Catalysis,Mass Transfer/Diffusion,,Effectiveness Factor for Single Catalyst Pore,Calculates the concentration gradient and the effectiveness factor for a catalyst pore with catalyst on the walls by carrying out a differential material balance.,,zFs5khfdkz0,PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa,https://www.youtube.com/watch?v=zFs5khfdkz0&list=PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa
Catalysis,Mass Transfer/Diffusion,,Mass Transfer in a Catalyst Sphere,Uses a shell balance to determine the rate of product formed with respect to time for a spherical catalyst.,,D-6ACSW8E7w,PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa,https://www.youtube.com/watch?v=D-6ACSW8E7w&list=PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa
Chemistry,Other,Introduction,Density of an Element,"Given the density of rhodium and its crystal structure, calculate it atomic radius.",,Cwdef3TlOtE,PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS,https://www.youtube.com/watch?v=Cwdef3TlOtE&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS
Chemistry,Other,Introduction,Density of Iron,"Given the edge length of a cube for iron in the body-centered cubic structure, determine its density.",,s8MHZQpZOjc,PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS,https://www.youtube.com/watch?v=s8MHZQpZOjc&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS
Chemistry,Other,Introduction,Final Concentration Using Unit Conversions,Demonstrates how to find a final concentration using an initial solution by using unit conversions.,,TrBjR7qMJjs,,https://www.youtube.com/watch?v=TrBjR7qMJjs
Chemistry,Other,Introduction,Unit Conversion,"Use units conversion to determine mass, given density and volume, where the volume units are different from the volume units in density.",,laMyHmqsTUo,PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS,https://www.youtube.com/watch?v=laMyHmqsTUo&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS
Chemistry,Units of Matter,"Atoms, Molecules and Ions",Isotope Composition,"Given atomic masses of 3 isotopes of silicon, the percent of one isotope in the mixture and the average atomic mass, determine the percent of one of the other isotopes in the mixture.",,eQsi7rzMBzk,PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS,https://www.youtube.com/watch?v=eQsi7rzMBzk&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS
Chemistry,Units of Matter,"Atoms, Molecules and Ions",Isotopic Abundance,"Give the atomic mass of an element and the masses of its two isotopes, calculate the relative abundances of the two isotopes.",,agUT0ekqs_A,PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS,https://www.youtube.com/watch?v=agUT0ekqs_A&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS
Chemistry,Units of Matter,"Atoms, Molecules and Ions",Lattice Energy,Calculates the lattice energy for a salt using a Bohr-Haber cycle to determine the enthalpy change to form the gas from gas phase ions.,,ConTsQHnN6Q,PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS,https://www.youtube.com/watch?v=ConTsQHnN6Q&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS
Chemistry,Units of Matter,"Atoms, Molecules and Ions",Molecular Mass,"Given a chemical formula, calculate its molecular mass.",,V5zzzzWuwzE,PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS,https://www.youtube.com/watch?v=V5zzzzWuwzE&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS
Chemistry,Units of Matter,"Atoms, Molecules and Ions",Number of Protons Neutrons Electrons,"Determine the number of protons, neutrons, and electrons in an anionic compound.",,oHAuPT3Mk3Y,PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS,https://www.youtube.com/watch?v=oHAuPT3Mk3Y&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS
Chemistry,Units of Matter,"Atoms, Molecules and Ions",Which Molecule is not Polar?,"Given five molecules, determine which is not polar by drawing the Lewis structure and determining the molecular structure.",,_-nNBt19yTA,PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS,https://www.youtube.com/watch?v=_-nNBt19yTA&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS
Chemistry,Units of Matter,Electronic Structure of Atoms,Assigning Oxidation States,Presents the rules used to assign oxidation numbers to atoms with examples. Discusses the difference between oxidation number and formal charge.,,YWKONQyPAso,PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS,https://www.youtube.com/watch?v=YWKONQyPAso&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS
Chemistry,Units of Matter,Electronic Structure of Atoms,Chemical Formula and Structure,"Determine the chemical formula for a binary compound, given a diagram of its crystal structure.",,0EUHzs7DRx8,PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS,https://www.youtube.com/watch?v=0EUHzs7DRx8&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS
Chemistry,Units of Matter,Electronic Structure of Atoms,Determining Favored Resonance Structures,Determines the favored resonance structure by using the octet rule and formal charges.,,lLhTrWvGrZ8,,https://www.youtube.com/watch?v=lLhTrWvGrZ8
Chemistry,Units of Matter,Electronic Structure of Atoms,Empirical Formula from Mass Percentages,Determines the empirical formula of a known compound using given mass percentages.,,SGyj0sySvhM,,https://www.youtube.com/watch?v=SGyj0sySvhM
Chemistry,Units of Matter,Electronic Structure of Atoms,Formal Charge,Determine the formal charge on the best Lewis structure of NO+.,,_wYtocFdgGc,PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS,https://www.youtube.com/watch?v=_wYtocFdgGc&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS
Chemistry,Units of Matter,Electronic Structure of Atoms,Lewis Dot Structure Examples,Gives a couple of examples of doing Lewis dot structures of simple compounds.,,cMubkwFUEDA,PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS,https://www.youtube.com/watch?v=cMubkwFUEDA&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS
Chemistry,Units of Matter,Electronic Structure of Atoms,Lewis Dot Structures: Molecular Geometry,Gives examples of Lewis dot structures for water and ammonia to show how they result in bent and pyramidal structures.,,V1iM_GwTlys,PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS,https://www.youtube.com/watch?v=V1iM_GwTlys&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS
Chemistry,Units of Matter,Electronic Structure of Atoms,Lewis Dot Structures: Octet Rule,Determine which molecule does not satisfy the octet rule in the Lewis structure.,,gQ7Uwd4NZXk,PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS,https://www.youtube.com/watch?v=gQ7Uwd4NZXk&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS
Chemistry,Units of Matter,Electronic Structure of Atoms,Lewis Dot Structures: Triple Bond,Determine which of these five molecules has a triple bond by drawing Lewis structures.,,6WklC9e_M10,PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS,https://www.youtube.com/watch?v=6WklC9e_M10&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS
Chemistry,Units of Matter,Electronic Structure of Atoms,Molecular Geometry,Determine the geometry of TeF5- using the periodic table and Lewis structures.,,Cc88wFkW_aA,PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS,https://www.youtube.com/watch?v=Cc88wFkW_aA&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS
Chemistry,Units of Matter,Electronic Structure of Atoms,Molecular Shape (VSEPR),"Using the valence shell electron pair repulsion (VSEPR) model, determine the structure of AsCl3.",,vZ2Im4bxa4M,PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS,https://www.youtube.com/watch?v=vZ2Im4bxa4M&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS
Chemistry,Phases/Phase Equilibrium,Gases,Amount of Gas Product Formed,Determines the volume of the gas-phase product given the masses of two reactants and using the ideal gas law. Identifies the limiting reactant.,,LXYdJN1V_p0,PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS,https://www.youtube.com/watch?v=LXYdJN1V_p0&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS
Chemistry,Phases/Phase Equilibrium,Gases,Gas Density,Use the ideal gas law and the molecular weights of 5 molecules to determine which molecule has the highest mass density,,EhPxE3La_Zg,PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS,https://www.youtube.com/watch?v=EhPxE3La_Zg&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS
Chemistry,Phases/Phase Equilibrium,Gases,Gas-Phase Equilibrium,"Given the equilibrium constants for a gas-phase reaction and the number of moles of two of the components involved in reaction, determine the number of moles of the third component.",,NBst2ansVTE,PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS,https://www.youtube.com/watch?v=NBst2ansVTE&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS
Chemistry,Phases/Phase Equilibrium,Gases,Ideal Gas Law Example,Calculate the volume of a gas that expands to a lower pressure at constant temperature using the ideal gas law.,,IgUS4_0m9Zc,PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS,https://www.youtube.com/watch?v=IgUS4_0m9Zc&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS
Chemistry,Phases/Phase Equilibrium,Gases,Ideal Gas Properties,"Apply the ideal gas law twice to a system in which initial conditions are given, additional gas is added and the temperature changed.",,cBTaIZFIEG4,PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS,https://www.youtube.com/watch?v=cBTaIZFIEG4&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS
Chemistry,Phases/Phase Equilibrium,Gases,Identify Gas Using Ideal Gas Law,"A gas is identified by measuring its pressure, temperature, and volume and its weight and using the ideal gas law.",,990ed9bsQlY,PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS,https://www.youtube.com/watch?v=990ed9bsQlY&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS
Chemistry,Phases/Phase Equilibrium,Gases,Molar Mass of a Gas,"Given the density of a gas at a certain temperature and pressure, calculate its molar mass using the ideal gas law.",,mF8RdjDiuu8,PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS,https://www.youtube.com/watch?v=mF8RdjDiuu8&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS
Chemistry,Phases/Phase Equilibrium,Gases,Partial Pressures,"The partial pressures of a binary gas mixture are calculated, given the number of grams of each molecule in the mixture.",,iCTnUFlakNo,PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS,https://www.youtube.com/watch?v=iCTnUFlakNo&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS
Chemistry,Phases/Phase Equilibrium,Gases,Ranking Vapor Pressures,Explains how to conceptually determine the vapor pressure of various molecules based on their bond strengths.,,Fd6eqNyPSgI,,https://www.youtube.com/watch?v=Fd6eqNyPSgI
Chemistry,Phases/Phase Equilibrium,"Solids, Liquids, and Phase Changes",Boiling Point from Heat of Vaporization,"Given the heat of vaporization of water and its boiling point at 1 bar, determine its boiling point at 1.5 bar using the Clausius-Clapeyron equation.",,HjK9IfWY2qg,PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS,https://www.youtube.com/watch?v=HjK9IfWY2qg&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS
Chemistry,Phases/Phase Equilibrium,"Solids, Liquids, and Phase Changes",Boiling Point from PVT Diagram,Determine the normal boiling point using a PVT diagram for an unknown molecule.,,jZESbugbnWw,PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS,https://www.youtube.com/watch?v=jZESbugbnWw&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS
Chemistry,Phases/Phase Equilibrium,"Solids, Liquids, and Phase Changes",Heat of Vaporization from Vapor Pressure,Use the vapor pressures at two temperatures and the Clasius-Clapeyron equation to determine the heat of vaporization.,,OGAxPWUB8H8,PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS,https://www.youtube.com/watch?v=OGAxPWUB8H8&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS
Chemistry,Phases/Phase Equilibrium,"Solids, Liquids, and Phase Changes",Phase Behavior on a PV Diagram (Simulation),Describes how to use the interactive simulation that represents the pressure-volume behavior for water. The simulation is located at: https://demonstrations.wolfram.com/PhaseBehaviorOnAPressureVolumeDiagram/,,7N_CR5aF60s,,https://www.youtube.com/watch?v=7N_CR5aF60s
Chemistry,Phases/Phase Equilibrium,"Solids, Liquids, and Phase Changes",Which Phase is Stable?,"Determine the temperature where phase transition occurs and which phase is stable at higher temperatures, given enthalpy change and entropy change for the phase change of solid tin.",,0G4cO9seO9s,PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS,https://www.youtube.com/watch?v=0G4cO9seO9s&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS
Chemistry,Phases/Phase Equilibrium,Phase Equilibrium,Osmotic Pressures,Calculate the osmotic pressure given the number of grams of sucrose dissolved in water.,,8WoyxPN1sSo,PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS,https://www.youtube.com/watch?v=8WoyxPN1sSo&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS
Chemistry,Chemical Reactions,Chemical Kinetics,Activation Energy Example,"Given the activation energy for an uncatalyzed reaction, the activation energy for the catalyzed reaction is calculated.",,4y_SW1Z8b7A,PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS,https://www.youtube.com/watch?v=4y_SW1Z8b7A&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS
Chemistry,Chemical Reactions,Chemical Kinetics,Determining Favorability of Reactions,Shows how to determine favorability of reactions with respect to energy using various examples.,,APxyBY27Msk,,https://www.youtube.com/watch?v=APxyBY27Msk
Chemistry,Chemical Reactions,Chemical Kinetics,First Order Kinetics Calculations,Utilizes the first order reaction equation to determine time-dependent concentration problems.,,MF0TbEeuTk0,,https://www.youtube.com/watch?v=MF0TbEeuTk0
Chemistry,Chemical Reactions,Chemical Kinetics,Fractional Conversion (Interactive),Multiple choice question: Examine how fractional conversion relates between species in a reaction.,,49C84I1_68o,PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS,https://www.youtube.com/watch?v=49C84I1_68o&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS
Chemistry,Chemical Reactions,Chemical Kinetics,Kinetics: Reaction Time,"Calculate the time it takes to reach the final concentration for a second-order reaction, given the rate constant and the initial and final concentrations.",,6KqaP0TVlJM,PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS,https://www.youtube.com/watch?v=6KqaP0TVlJM&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS
Chemistry,Chemical Reactions,Chemical Kinetics,Kinetics: Reaction Time 2,"Calculates the time to reach a final concentration, given the initial concentration of reactant and the rate constant for a first-order reaction.",,Bt70qUQb6BA,PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS,https://www.youtube.com/watch?v=Bt70qUQb6BA&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS
Chemistry,Chemical Reactions,Chemical Kinetics,Limiting Reagent (Interactive),Multiple choice question: Determine amount of product formed based on conversion of limiting reactant.,,7H2EnOzGxD0,PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS,https://www.youtube.com/watch?v=7H2EnOzGxD0&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS
Chemistry,Chemical Reactions,Chemical Kinetics,Non-Spontaneous Reaction,"Given that the entropy change for a non-spontaneous reaction is negative, what can be said about the signs of the changes in enthalpy and Gibbs free energy?",,uYHwrmWEIsk,PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS,https://www.youtube.com/watch?v=uYHwrmWEIsk&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS
Chemistry,Chemical Reactions,Chemical Kinetics,Pressure Change with Reaction,The final pressure is calculated for a reaction taking place in a fixed volume container. The amount of reactant that reacts is given and the number of moles of gas increases,,Le4gu2jysSk,PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS,https://www.youtube.com/watch?v=Le4gu2jysSk&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS
Chemistry,Chemical Reactions,Chemical Kinetics,Rate Constant for a Reversible Reaction,Determines the reverse rate constant given the equilibrium constant and the forward rate constant for an elementary reaction.,,JDqxSbBfKLk,PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS,https://www.youtube.com/watch?v=JDqxSbBfKLk&list=PL4xAk5aclnUi1CEFNwjcheMgyWe8BwuLS
